Date,Fatalities,Industry
12-Jan-23,1,Construction
19-Jan-23,1,Other
31-Jan-23,1,Transportation
2-Feb-23,1,Construction
11-Feb-23,1,Transportation
26-Feb-23,1,Construction
5-Mar-23,1,Transportation
17-Apr-23,1,Transportation
18-Apr-23,1,Construction
28-Apr-23,1,Manufacturing
2-May-23,1,Construction
9-Jun-23,1,Transportation
12-Jun-23,1,Construction
15-Jun-23,1,Construction
6-Feb-22,1,Transportation
11-Feb-22,1,Manufacturing
11-Feb-22,1,Other
23-Feb-22,1,Construction
2-Mar-22,1,Construction
12-Mar-22,1,Construction
21-Mar-22,1,Marine
28-Mar-22,1,Marine
28-Mar-22,1,Marine
1-Apr-22,1,Transportation
4-Apr-22,1,Construction
8-Apr-22,1,Other
10-Apr-22,1,Transportation
18-Apr-22,1,Other
21-Apr-22,1,Other
22-Apr-22,1,Construction
27-Apr-22,1,Other
27-Apr-22,1,Manufacturing
30-Apr-22,1,Manufacturing
2-May-22,1,Construction
13-May-22,1,Transportation
17-May-22,1,Marine
19-May-22,1,Construction
24-May-22,1,Construction
27-May-22,1,Manufacturing
10-Jun-22,1,Construction
22-Jun-22,1,Construction
24-Jun-22,1,Transportation
6-Jul-22,1,Construction
7-Jul-22,1,Construction
20-Jul-22,1,Other
3-Aug-22,1,Transportation
16-Aug-22,1,Other
22-Aug-22,1,Marine
25-Aug-22,1,Other
26-Aug-22,1,Construction
1-Sep-22,1,Transportation
5-Oct-22,1,Other
9-Oct-22,1,Transportation
16-Oct-22,1,Transportation
25-Nov-22,1,Manufacturing
26-Nov-22,1,Other
7-Dec-22,1,Other
13-Dec-22,1,Construction
27-Dec-22,1,Manufacturing
30-Dec-22,1,Manufacturing
1-Feb-21,1,Construction
2-Feb-21,1,Transportation
8-Feb-21,1,Transportation
10-Feb-21,1,Construction
16-Feb-21,1,Marine
20-Feb-21,1,Construction
21-Feb-21,1,Other
24-Feb-21,3,Manufacturing
27-Feb-21,1,Other
23-Mar-21,1,Transportation
5-Apr-21,1,Transportation
22-Apr-21,1,Construction
19-May-21,2,Construction
28-May-21,1,Transportation
3-Jun-21,1,Manufacturing
6-Jun-21,1,Other
10-Jun-21,1,Construction
11-Jun-21,1,Other
11-Jun-21,1,Transportation
14-Jun-21,1,Transportation
3-Jul-21,1,Other
13-Jul-21,1,Construction
13-Aug-21,1,Other
17-Sep-21,1,Construction
23-Sep-21,2,Other
1-Oct-21,1,Transportation
12-Oct-21,1,Construction
16-Oct-21,1,Other
15-Nov-21,1,Construction
18-Nov-21,1,Construction
11-Dec-21,1,Construction
23-Dec-21,1,Transportation
24-Dec-21,1,Other